Company,Market_Cap,Revenue,EBITDA,P_E_Ratio,EV_Revenue,EV_EBITDA,Industry,Stage
TechCorp A,2500000000,500000000,75000000,33.3,5.0,33.3,SaaS,Public
InnovateCo B,1800000000,300000000,60000000,30.0,6.0,30.0,SaaS,Public
CloudTech C,3200000000,800000000,120000000,26.7,4.0,26.7,SaaS,Public
DataFlow D,1500000000,250000000,50000000,30.0,6.0,30.0,SaaS,Public
ScaleTech E,2800000000,600000000,100000000,28.0,4.7,28.0,SaaS,Public
StartupX F,150000000,25000000,2500000,60.0,6.0,60.0,SaaS,Private
GrowthCo G,300000000,45000000,6750000,44.4,6.7,44.4,SaaS,Private
VentureTech H,200000000,30000000,3000000,66.7,6.7,66.7,SaaS,Private
RocketStart I,400000000,60000000,9000000,44.4,6.7,44.4,SaaS,Private
NextGen J,250000000,35000000,5250000,47.6,7.1,47.6,SaaS,Private
